id,type,address,number,postal_code,municipality,province,location,public,available,hours,latitude,longitude
4104.0,,Avenue De Molder,54.0,1340.0,Ottignies,Brabant Wallon,entrée - rez,,,,50.678160693812,4.563642099762
4105.0,,Chaussée de La Hulpe ,166.0,1170.0,Bruxelles,Bruxelles-Brussel,"rez,couloir vers poste",,,,50.79628802873,4.404432458991
4107.0,,Place de Bracquegnies,1.0,7110.0,Strépy-Bracquegnies,Hainaut,salle de sport,,,,50.474344282632,4.121460497436
4108.0,,Place de Bracquegnies ,1.0,7110.0,Strépy-Bracquegnies,Hainaut,salle de sport,,,,50.474344282632,4.121460497436
4109.0,,Avenue Adolphe Buyl ,87.0,1050.0,Bruxelles,Bruxelles-Brussel,rez de ch,,,,50.815399438522,4.383158099085
4110.0,,Avenue Adolphe Buyl ,87.0,1050.0,Bruxelles,Bruxelles-Brussel,4ème étage,,,,50.815399438522,4.383158099085
4111.0,,Boulevard du Souverain ,68.0,1170.0,Bruxelles,Bruxelles-Brussel,2ème étage,,,,50.804119911419,4.425391491701
4112.0,,Da Vinci laan ,7.0,1930.0,Zaventem,Vlaams-Brabant,"parking,verd -3 nst toeg sasliften",,,,50.888880398538,4.458464721431
4113.0,,A. Vaucampslaan ,42.0,1654.0,Huizingen,Vlaams-Brabant,"glvl ,links van onthaal",,,,50.752738886863,4.263234438497
4114.0,,Prins Boudewijnlaan,26.0,2550.0,Kontich,Antwerpen,"glvl,rechts na ingang",,,,51.141957087043,4.43832216991
4115.0,,Square Hoedemaekers ,10.0,1140.0,Bruxelles,Bruxelles-Brussel,hall,,,,50.87251976173,4.403296878749
4116.0,,Chaussée de Bruxelles ,21.0,6020.0,Dampremy,Hainaut,"rez,s de fitness,accueul",,,,50.413222983672,4.436782079021
4117.0,,Square de Meeûs 23 bus ,23.0,1000.0,Brussel,Bruxelles-Brussel,2de verd - onthaal,,,,50.839932011832,4.370258014822
4118.0,,Rue de l Eglise,86.0,1430.0,Quenast,Brabant Wallon,Rue de l Eglise 86 secrétariat,,,,50.671534786569,4.157378168973
4119.0,,Chaussée de Hannut ,3.0,1370.0,Jodoigne,Brabant Wallon,"salle des prof, local 6",,,,50.719727683216,4.876119198686
4120.0,,Chaussée de Tirlemont ,85.0,1370.0,Jodoigne,Brabant Wallon,accueil,,,,50.728594395671,4.87595256645
4121.0,,Rue Saint Nicolas ,17.0,1310.0,La hulpe,Brabant Wallon,couloir sortie de secours,,,,50.731432591906,4.491581537058
4122.0,,Chemin du Malgras ,4.0,1400.0,Nivelles,Brabant Wallon,couloir face local directrice,,,,50.60074141277,4.340546766455
4123.0,,Allée de la Cense du Colombier,2.0,1400.0,Nivelles,Brabant Wallon,hall entrée,,,,50.602146387381,4.337477648788
4124.0,,Rue Ferdinand Delcroix,33.0,1400.0,Nivelles,Brabant Wallon,accueil,,,,50.602183812578,4.330249766042
4125.0,,Rue du Paradis,79.0,1400.0,Nivelles,Brabant Wallon,accueil local 31,,,,50.609580129669,4.324017988669
4126.0,,Rue des Tilleuls,60.0,1435.0,Hévillers,Brabant Wallon, couloir central porte 132,,,,50.628412925,4.616263855536
4127.0,,Quai aux Huitres,31.0,1300.0,Wavre,Brabant Wallon,hall entrée face accueil,,,,50.715208915395,4.612008866208
4128.0,,Avenue Bohy,51.0,1300.0,Wavre,Brabant Wallon,hall entrée face accueil,,,,50.714282295999,4.61955308198
4129.0,,Chaussée de Mons,,1480.0,Tubize,Brabant Wallon,secrétariat,,,,50.675330018301,4.188202548279
4130.0,,Parc de Wisterzée ),,1490.0,Court-Saint-Etienne,Brabant Wallon,local infirmerie,,,,50.647391,4.560339
4131.0,,Avenue Paul Henricot,1.0,1490.0,Court-Saint-Etienne,Brabant Wallon,local infirmerie,,,,50.65146676295,4.56214643296
4133.0,,Rue Vandervelde ,240.0,6534.0,Gozée,Hainaut,"rez,bureau pointage,bat annex",,,,50.364176570607,4.322588790358
4134.0,,Rue du Beynert ,,6700.0,Arlon,Luxembourg,stand de tir dans le Bois du Beyne,,,,49.698156535523,5.769154183807
4135.0,,Malmedyer Strasse,9.0,4700.0,Eupen,Liège,portierhaus,,,,50.621689842372,6.034374752098
4136.0,,Rue Léon Jourez,79.0,1420.0,Braine-l Alleud,Brabant Wallon,rez de ch,,,,50.685259662888,4.374581651937
4137.0,,Avenue P. Roosevelt,57.0,5060.0,Tamines,Namur,bâtiment accueil,,,,50.436705653146,4.6079981451
4138.0,,Avenue P. Roosevelt ,57.0,5060.0,Tamines,Namur,salle de gym-hall d entrée,,,,50.436705653146,4.6079981451
4139.0,,Avenue P. Roosevelt ,57.0,5060.0,Tamines,Namur,"hall d entrée,section techn",,,,50.436705653146,4.6079981451
4140.0,,Groenplaats ,32.0,2000.0,Antwerpen,Antwerpen,"glvl,achterreceptie lichtgrijs kast",,,,51.219273480223,4.402308317089
4141.0,,Rue Nivezé Bas ,,4845.0,Jalhay,Liège, vestiaire arbitre,,,,50.501745915209,5.900140971386
4142.0,,Rue Haut-Vinave ,,4845.0,Jalhay,Liège,vestiaire de l arbitre,,,,50.558338777885,5.964249951814
