Latitude,Longitude,Intervention,Eventlevel,T3-T0,EventType,Vector type,AED,Ambulance,Mug,PIT,Province,distance_to_aed,distance_to_ambulance,distance_to_mug,distance_to_pit
51.2677,4.53066,1,1.0,11.234333333333332,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.4849729602967556,4.657487170388455,3.7313136978292056,8.98153095457178
51.25452,4.44926,1,0.0,10.893983333333331,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.21177767048957205,0.5074375337479097,0.3284145915838572,3.4845497740554126
51.25452,4.44926,1,0.0,6.2649,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.21177767048957205,0.5074375337479097,0.3284145915838572,3.4845497740554126
51.31404,4.92728,1,1.0,11.597383333333331,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.2475489655649113,0.36141053667910017,1.379773225465839,19.200691821563897
51.31404,4.92728,1,1.0,5.802383333333333,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.2475489655649113,0.36141053667910017,1.379773225465839,19.200691821563897
51.13332,4.57798,1,1.0,10.466466666666667,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.525130130673639,5.287476761369535,0.8282373403565089,0.9736781770725421
51.13332,4.57798,1,1.0,,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.525130130673639,5.287476761369535,0.8282373403565089,0.9736781770725421
51.13332,4.57798,1,1.0,9.117816666666666,P003 - Cardiac arrest,PIT,0,0,0,0,Antwerpen,0.525130130673639,5.287476761369535,0.8282373403565089,0.9736781770725421
51.10164,4.89978,1,1.0,32.71386666666667,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,1.4308057180286846,2.3060924434831764,10.015584778044758,17.624687029320484
51.10164,4.89978,1,1.0,25.67301666666667,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,1.4308057180286846,2.3060924434831764,10.015584778044758,17.624687029320484
51.23287,4.46478,1,0.0,9.025283333333334,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.11520901839615513,2.971125249837152,2.9613463366800534,3.4481227776849437
51.23287,4.46478,1,0.0,7.268316666666666,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.11520901839615513,2.971125249837152,2.9613463366800534,3.4481227776849437
51.14389,4.56829,1,0.0,8.110833333333334,P003 - Cardiac arrest,PIT,0,0,0,0,Antwerpen,0.4853034042371878,6.431402229195216,1.359790217095256,1.2850381325243845
51.14389,4.56829,1,0.0,17.69065,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.4853034042371878,6.431402229195216,1.359790217095256,1.2850381325243845
51.15252,4.62003,1,0.0,10.820183333333334,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,1.5225406176462584,4.679696950173123,4.39931026668174,4.4863686421380065
51.15252,4.62003,1,0.0,11.804516666666666,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,1.5225406176462584,4.679696950173123,4.39931026668174,4.4863686421380065
51.30932,4.39848,1,0.0,7.119666666666666,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.2844673347765266,1.8221388935099865,6.7794884686683,8.732686182975092
51.30932,4.39848,1,0.0,40.485483333333335,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.2844673347765266,1.8221388935099865,6.7794884686683,8.732686182975092
51.28209,4.45141,1,0.0,13.148716666666669,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.38058899414518144,2.5795475094984472,2.7413675005522813,6.161565221108842
51.28209,4.45141,1,0.0,37.374183333333335,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.38058899414518144,2.5795475094984472,2.7413675005522813,6.161565221108842
51.07776,4.49175,1,1.0,11.977983333333333,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.1423806851234344,3.339013928914874,4.730682512402545,7.920484293585922
51.07776,4.49175,1,1.0,,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.1423806851234344,3.339013928914874,4.730682512402545,7.920484293585922
51.07776,4.49175,1,1.0,11.78605,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.1423806851234344,3.339013928914874,4.730682512402545,7.920484293585922
51.2575,4.44625,1,1.0,7.143816666666667,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.22979802069084074,0.3873082440340464,0.24242805791268343,3.6058093198887518
51.2575,4.44625,1,1.0,5.28415,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.22979802069084074,0.3873082440340464,0.24242805791268343,3.6058093198887518
51.20372,4.40323,1,0.0,16.1341,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.27688647438840863,0.46256093850244784,0.8442463898909028,3.2007787053525782
51.29924,4.50917,1,1.0,11.111733333333332,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.31827816992528785,1.4030313525576683,1.605452678243022,9.969806262620503
51.29924,4.50917,1,1.0,11.67225,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.31827816992528785,1.4030313525576683,1.605452678243022,9.969806262620503
51.35584,4.33908,1,1.0,67.77799999999999,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,1.140210362826135,4.647099121636547,13.373043922319392,14.807738654061373
51.35584,4.33908,1,1.0,22.37758333333333,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,1.140210362826135,4.647099121636547,13.373043922319392,14.807738654061373
51.08904,4.87429,1,0.0,18.012783333333335,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.29353121006022814,2.7697305807766064,10.696431301911224,19.879852842111074
51.08904,4.87429,1,0.0,16.330683333333333,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.29353121006022814,2.7697305807766064,10.696431301911224,19.879852842111074
51.39422,4.94415,1,0.0,7.195366666666667,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,1.2235794730778418,4.018170356559283,8.368221709514419,25.92001430936074
51.39422,4.94415,1,0.0,28.284716666666668,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,1.2235794730778418,4.018170356559283,8.368221709514419,25.92001430936074
51.21779,4.33976,1,1.0,13.417516666666668,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.7237637505429845,3.098419908227329,5.341472448972389,5.477075977297711
51.21779,4.33976,1,1.0,9.818533333333331,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.7237637505429845,3.098419908227329,5.341472448972389,5.477075977297711
51.24678,4.59895,1,1.0,12.032183333333334,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,1.0396324687542393,4.402595379336291,4.492927337355519,12.922381191748505
51.24678,4.59895,1,1.0,9.56625,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,1.0396324687542393,4.402595379336291,4.492927337355519,12.922381191748505
51.17916,4.85249,1,1.0,9.3253,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.24045561974255666,1.2423566337506438,1.25964307807237,18.190030175709566
51.17916,4.85249,1,1.0,7.968116666666666,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.24045561974255666,1.2423566337506438,1.25964307807237,18.190030175709566
51.05471,4.3602,1,1.0,8.862283333333332,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.16592664565426285,1.346732196939608,8.923878522381166,5.715033013185765
51.05471,4.3602,1,1.0,16.27188333333333,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.16592664565426285,1.346732196939608,8.923878522381166,5.715033013185765
51.22701,4.42207,1,0.0,9.329583333333334,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.199997573404911,1.045543781440742,2.320673443663778,0.6858750876204899
51.22701,4.42207,1,0.0,9.294533333333334,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.199997573404911,1.045543781440742,2.320673443663778,0.6858750876204899
51.2416,4.58782,1,1.0,9.546883333333334,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.1048112813434585,5.361371296387666,5.450357575821771,12.228242847415292
51.2416,4.58782,1,1.0,9.594016666666668,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.1048112813434585,5.361371296387666,5.450357575821771,12.228242847415292
51.04731,4.93998,1,0.0,16.738116666666667,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.8251389226634323,4.358607329545559,10.078142860845412,19.637354484339873
51.04731,4.93998,1,0.0,12.5059,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.8251389226634323,4.358607329545559,10.078142860845412,19.637354484339873
51.24514,4.43663,1,1.0,,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.46097065143225824,1.8406569175130554,1.6455727986974358,2.122813880448072
51.24514,4.43663,1,1.0,4.782133333333333,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.46097065143225824,1.8406569175130554,1.6455727986974358,2.122813880448072
51.22137,4.42413,1,1.0,,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.33692718173545233,0.7765822363314057,1.76671092628746,1.2825063579741436
51.20172,4.42602,1,0.0,15.59375,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.20634522012165812,1.0776138799129482,0.9826398172528025,3.393757127083163
51.20172,4.42602,1,0.0,10.2661,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.20634522012165812,1.0776138799129482,0.9826398172528025,3.393757127083163
51.044,4.47278,1,0.0,9.2971,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.3410462961804173,0.700185474466646,1.2354532076524523,9.888695406410589
51.044,4.47278,1,0.0,9.7751,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.3410462961804173,0.700185474466646,1.2354532076524523,9.888695406410589
51.31087,4.40745,1,0.0,10.107016666666668,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.5670663417284446,1.180714211208037,6.627239454879719,8.843135563097967
51.31087,4.40745,1,0.0,10.356233333333334,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.5670663417284446,1.180714211208037,6.627239454879719,8.843135563097967
51.16297,4.38779,1,0.0,8.975850000000001,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.3417209231824491,1.7090610242469302,2.2187090575689243,6.480438385041586
51.16297,4.38779,1,0.0,15.749666666666666,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.3417209231824491,1.7090610242469302,2.2187090575689243,6.480438385041586
51.18821,4.42047,1,0.0,6.207433333333333,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.45635592170759637,0.6544295545803697,0.6900680011598382,4.826363092747221
51.18821,4.42047,1,0.0,8.204516666666667,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.45635592170759637,0.6544295545803697,0.6900680011598382,4.826363092747221
51.3001,4.7369,1,0.0,9.510633333333336,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.27195249345716715,0.18112040692632156,6.975365808496639,22.17283786551639
51.3001,4.7369,1,0.0,14.283383333333337,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.27195249345716715,0.18112040692632156,6.975365808496639,22.17283786551639
51.31983,4.95383,1,0.0,25.9927,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.1445001437510928,1.7800605630018929,0.5867286427360944,18.518193054267694
51.22892,5.07719,1,2.0,1.55645,P003 - Cardiac arrest,Ambulance,0,0,0,0,Antwerpen,0.28513014367329015,4.606646357120432,9.34894375648977,5.345659671603795
51.15482,4.67603,1,1.0,12.94685,P003 - Cardiac arrest,MUG,0,0,0,0,Antwerpen,0.789593176139035,4.95780911880739,8.068553264853202,8.190612387302169
